ID;Année_Cession;Pays;Département;Commune;Nature;Ministère_occupant;Service_occupant;Type_Procédure_ayant_mené_à_la_vente;Nature_juridique_Acquereur;Année_de_1ère_inscription;Code_INSEE_Commune;Lieu_dit;Numéro;Cardinaux_multiplicatifs;Voie;Adresse;Opérateur;Nb_Procédure;Date_de_signature_de_l_acte_de_vente;adresse_complete;geom
130780017;2015;FRANCE;YVELINES;VIROFLAY;ESPACE AMENAGE;Ministère de l'écologie, du développement durable, des transports et du logement;Autres;Droit de priorité;Collectivités territoriales;2013;78686;;6;;RUE;DE VERSAILLES;;1;2015-01-12;6 RUE DE VERSAILLES;48.798707, 2.164604
120920049;2017;FRANCE;HAUTS-DE-SEINE;CHATENAY MALABRY;BATIMENT D'ENSEIGNEMENT OU DE SPORT;Ministère de l'enseignement supérieur et de la recherche;OPERATEUR;Droit de priorité;Etablissements publics locaux;2012;92019;FACULTE DE PHARMACIE;5;;RUE;JEAN-BAPTISTE CLEMENT;Université Paris-sud Paris XI;1;2017-12-06;5 RUE JEAN-BAPTISTE CLEMENT;48.762875, 2.271552
130590064;2017;FRANCE;NORD;RONCHIN;ESPACE NATUREL;Ministère de l'écologie, du développement durable, des transports et du logement;Autres;Droit de priorité;Collectivités territoriales;2013;59507;CHAMP DU HAUT MOULIN;;;;;;1;2017-05-29;;50.603725, 3.087433
130700012;2017;FRANCE;HAUTE-SAÔNE;HAUT DU THEM CHATEAU LAMBERT;BATIMENT SANITAIRE OU SOCIAL;Ministère de l'écologie, du développement durable, des transports et du logement;Autres;Gré à gré;Personnes physiques non commerçantes;2013;70283;LA TÊTE DE L'OURS;;;MONTEE;COL DES CROIX;;1;2017-08-10;MONTEE COL DES CROIX;47.844248, 6.72038
130740011;2017;FRANCE;HAUTE-SAVOIE;AMBILLY;ESPACE AMENAGE;Ministère de l'écologie, du développement durable, des transports et du logement;Autres;Autres droits;Entreprises société;2013;74008;CHAMPAGNE SUD;28;;AVENUE;DE GENEVE;;1;2017-03-30;28 AVENUE DE GENEVE;46.192722, 6.224019
139710029;2017;FRANCE;GUADELOUPE;ST CLAUDE;LOGEMENT;Ministère de l'agriculture et de la pêche;DRAAF;Appel d'offres;Personnes physiques non commerçantes;2013;97124;CITE DUCHARMOY;2;;IMPASSE;DES MOMBINS;;1;2017-07-06;2 IMPASSE DES MOMBINS;16.013724, -61.715911
140340023;2017;FRANCE;HÉRAULT;MONTPELLIER;LOGEMENT;Ministère de la justice et des libertés;Autres;VNI;Personnes physiques non commerçantes;2014;34172;;1;BIS;AVENUE;DE L'ÉCOLE DE L'AGRICULTURE;;1;2017-11-28;1 AVENUE DE L'ÉCOLE DE L'AGRICULTURE;43.612166, 3.860624
140430013;2017;FRANCE;HAUTE-LOIRE;AUZON;ESPACE NATUREL;Ministère de l'écologie, du développement durable, des transports et du logement;Autres;Appel d'offres;Personnes physiques non commerçantes;2014;43016;LES BESSEYRES;;;;;;1;2017-05-15;;45.390898, 3.37061
140490011;2017;FRANCE;MAINE-ET-LOIRE;ANGERS;BATIMENT D'ENSEIGNEMENT OU DE SPORT;Ministère de la défense;AUTRES;Droit de priorité;Etablissements publics locaux;2014;49007;;;;RUE;GENERAL BIZOT;;1;2017-03-13;RUE GENERAL BIZOT;47.459041, -0.555222
140580010;2017;FRANCE;NIÈVRE;LA MACHINE;LOGEMENT;Biens non affectés;N/A;Appel d'offres;Personnes physiques non commerçantes;2014;58151;;44;;AVENUE;JEAN-BAPTISTE MACHECOURT;;1;2017-12-04;44 AVENUE JEAN-BAPTISTE MACHECOURT;46.8929, 3.468677
140690020;2017;FRANCE;RHÔNE;ST LAURENT DE MURE;ESPACE NATUREL;Ministère de l'écologie, du développement durable, des transports et du logement;Autres;Appel d'offres;Collectivités territoriales;2014;69288;COLONGES & SOUS LA COTE ST ROMAIN;;;;;;1;2017-12-21;;45.685427, 5.044287
140740016;2017;FRANCE;HAUTE-SAVOIE;ANNECY;BUREAU;Ministère de la justice et des libertés;Autres;Droit de priorité;Collectivités territoriales;2014;74010;;19;;AVENUE;DU PARMELAN;;1;2017-12-27;19 AVENUE DU PARMELAN;45.905191, 6.131931
140750021;2017;FRANCE;PARIS;PARIS 19;BATIMENT TECHNIQUE;Ministère de l'intérieur, de l'Outre-mer et des collectivités territoriales;Administration centrale;Droit de priorité;Etablissements publics locaux;2014;75119;;186;;AVENUE;JEAN JAURES;;1;2017-03-21;186 AVENUE JEAN JAURES;48.887988, 2.390694
140830019;2017;FRANCE;VAR;TOULON;RESEAUX ET VOIRIES;Ministère de l'écologie, du développement durable, des transports et du logement;Autres;Droit de priorité;Collectivités territoriales;2014;83137;ARSENAL MARITIME;;;;;;1;2017-03-25;;43.124011, 5.930466
140990189;2017;MAROC;;;BUREAU;Ministère des affaires étrangères et européennes;Bien à l'étranger;;Entreprises société;2014;;;;;RUE;AL GHAZALI AL HATIMI;;;2017-02-09;RUE AL GHAZALI AL HATIMI;
150350021;2017;FRANCE;ILLE-ET-VILAINE;ST MALO;LOGEMENT;Ministère de l'écologie, du développement durable, des transports et du logement;DGITM/DAM;Adjudication;Entreprises société;2015;35288;;14;;RUE;DU PARC - PAVILLON;;1;2017-04-05;14 RUE DU PARC - PAVILLON;48.663922, -1.975562
150350022;2017;FRANCE;ILLE-ET-VILAINE;ST MALO;SUPPORT DE PARCELLE;Ministère de l'écologie, du développement durable, des transports et du logement;Autres;Adjudication;Entreprises société;2015;35288;;;;RUE;DU PARC - PARCELLE J 1187 (EX J215);;1;2017-07-10;RUE DU PARC - PARCELLE J 1187 (EX J215);48.663748, -1.975406
150570020;2017;FRANCE;MOSELLE;MORHANGE;BUREAU;Ministère de l'écologie, du développement durable, des transports et du logement;Autres;Adjudication;Entreprises société;2015;57483;;8;;RUE;VERLAINE;;1;2017-10-05;8 RUE VERLAINE;48.919743, 6.633618
160050012;2017;FRANCE;HAUTES ALPES;GAP;BATIMENT TECHNIQUE;Ministère du budget, des comptes publics et de la réforme de l'Etat;DGFIP;Appel d'offres;Personnes physiques non commerçantes;2016;05061;;;;BOULEVARD;POMPIDOU COPROPRIÉTÉ LES RIVES DE LA LUYE;;1;2017-09-18;BOULEVARD POMPIDOU COPROPRIÉTÉ LES RIVES DE LA LUYE;44.557404, 6.08114
160070012;2017;FRANCE;ARDÈCHE;VEYRAS;LOGEMENT;Ministère de l'intérieur, de l'Outre-mer et des collectivités territoriales;Administration territoriale;Appel d'offres;Entreprises société;2016;07340;;115;;CHEMIN;DE L'ALEYSSONNE;;1;2017-10-03;115 CHEMIN DE L'ALEYSSONNE;44.730902, 4.565631
160160018;2017;FRANCE;CHARENTE;CHASSENEUIL SUR BONNIEURE;ESPACE NATUREL;Ministère de l'écologie, du développement durable, des transports et du logement;DGITM/DIT;Autres droits;Personnes physiques non commerçantes;2016;16085;LA PORCHERIE;;;;;;1;2017-01-18;;45.823755, 0.449351
160180017;2017;FRANCE;CHER;STE LUNAISE;LOGEMENT;Ministère de l'agriculture et de la pêche;ONF;Appel d'offres;Personnes physiques non commerçantes;2016;18222;BOIS DE SOUDRAIN;;;CHEMIN;DE SOUDRAIN MAISON FORESTIERE DE SOUDRAIN;;1;2017-08-03;CHEMIN DE SOUDRAIN MAISON FORESTIERE DE SOUDRAIN;46.913448, 2.365355
160260011;2017;FRANCE;DRÔME;VALENCE;BATIMENT TECHNIQUE;Ministère de la justice et des libertés;Autres;Droit de priorité;Etablissements publics locaux;2016;26362;;79;;AVENUE;CHABEUIL;;1;2017-12-29;79 AVENUE CHABEUIL;44.931156, 4.902571
160340025;2017;FRANCE;HÉRAULT;ST FELIX DE LODEZ;ESPACE NATUREL;Ministère de l'écologie, du développement durable, des transports et du logement;Autres;Droit de priorité;Etablissements publics nationaux;2016;34254;MAS AUBERT;;;;;;1;2017-06-27;;43.661273, 3.458588
160350014;2017;FRANCE;ILLE-ET-VILAINE;ST JACQUES DE LA LANDE;LOGEMENT;Ministère de la justice et des libertés;DAP;Adjudication;Personnes physiques non commerçantes;2016;35281;;4;;RUE;LOUISE BODIN;;1;2017-07-06;4 RUE LOUISE BODIN;48.065952, -1.720828
160430020;2017;FRANCE;HAUTE-LOIRE;ROCHE EN REGNIER;ESPACE NATUREL;Biens non affectés;N/A;Appel d'offres;Personnes physiques non commerçantes;2016;43164;LA VIGNE ET LOUS FRAYS;;;;;;1;2017-06-08;;45.220973, 3.940286
160430022;2017;FRANCE;HAUTE-LOIRE;ROCHE EN REGNIER;ESPACE NATUREL;Biens non affectés;N/A;Appel d'offres;Personnes physiques non commerçantes;2016;43164;LA GOUTTE;;;;;;1;2017-06-08;;45.220973, 3.940286
160540042;2017;FRANCE;MEURTHE-ET-MOSELLE;XOUSSE;ESPACE NATUREL;Ministère de l'écologie, du développement durable, des transports et du logement;DGITM/DIT;Gré à gré;Collectivités territoriales;2016;54600;LA NOUE;;;;;;1;2017-01-17;;48.656432, 6.709161
160600025;2017;FRANCE;OISE;BERNEUIL EN BRAY;ESPACE NATUREL;Ministère de la défense;AUTRES;Droit de priorité;Collectivités territoriales;2016;60063;RELAIS HERTZIEN DU MONT FLORENTIN;;;VOIE;MONT FLORENTIN;;1;2017-05-19;VOIE MONT FLORENTIN;49.373637, 2.077411
160910020;2017;FRANCE;ESSONNE;EVRY;BATIMENT TECHNIQUE;Ministère de l'économie, de l'industrie et de l'emploi;AUTRES;Gré à gré;Entreprises société;2016;91228;;523;;PLACE;TERRASSES DE L'AGORA;;1;2017-01-20;523 PLACE TERRASSES DE L'AGORA;48.628102, 2.428724
170130014;2017;FRANCE;BOUCHES-DU-RHÔNE;ISTRES;COMMERCE;Biens non affectés;N/A;Droit de priorité;Collectivités territoriales;2017;13047;;3;;AVENUE;ROUSTAN;;1;2017-09-22;3 AVENUE ROUSTAN;43.513355, 4.9936
170210019;2017;FRANCE;CÔTE-D'OR;DAIX;RESEAUX ET VOIRIES;Ministère de l'écologie, du développement durable, des transports et du logement;Autres;Droit de priorité;Collectivités territoriales;2017;21223;LA MALADIÈRE;;;RUE;DE DIJON;;1;2017-09-06;RUE DE DIJON;47.348383, 5.001076
170210025;2017;FRANCE;CÔTE-D'OR;NOIRON SOUS GEVREY;ESPACE NATUREL;Ministère de la défense;AUTRES;Gré à gré;Entreprises société;2017;21458;LA MOIRIE;;;;;;1;2017-12-18;;47.193538, 5.079109
170250014;2017;FRANCE;DOUBS;FOURBANNE;ESPACE AMENAGE;Ministère de l'écologie, du développement durable, des transports et du logement;VNF;Adjudication;Personnes physiques non commerçantes;2017;25251;BOIS DU MOULIN;;;CHEMIN;DU HALAGE;;1;2017-10-04;CHEMIN DU HALAGE;47.329856, 6.307884
